,0,1,2,3,4,5,6,7
k3_c0,1.284511784511809,265.47310244107734,5.351851851851912,187.8492556397307,77.62384680134693,0.04966329966330034,0.643097643097641,0.2769360269360265
k3_c1,3.196747011561866,59.60103405839701,2.044875563394149,45.527841818537425,14.073192239859258,0.0879874583578285,0.4716833235351713,0.2935528120713307
k3_c2,20.0,6538.16,1.0,0.0,6538.16,0.0,0.0,0.0
k4_c0,1.3584905660377602,233.40478812893076,5.138364779874272,186.11412775157245,47.29066037735856,0.055817610062893805,0.6312893081760985,0.2586477987421375
k4_c1,3.224698795180761,57.4758995381526,2.021485943775168,43.25216259036088,14.223736947791505,0.08775100401606423,0.46967871485943363,0.29658634538152584
k4_c2,20.0,6538.16,1.0,0.0,6538.16,0.0,0.0,0.0
k4_c3,1.333333333333334,933.4680076923077,4.871794871794871,86.1680076923077,847.3,-1.3877787807814457e-17,0.7435897435897436,0.5384615384615383
k5_c0,3.2253464551115063,57.46038150230969,2.021490259088238,43.23378780879639,14.226593693513093,0.0877686282386021,0.46977304679654136,0.2966459128339021
k5_c1,1.3574234092694666,233.32728256087975,5.13589945011789,186.07377117046357,47.253511390416406,0.05577376276512248,0.6307934014139807,0.25844461901021126
k5_c2,20.0,6538.16,1.0,0.0,6538.16,0.0,0.0,0.0
k5_c3,0.0,1978.3382250000004,2.0,49.623225,1928.715,0.0,0.5,0.5
k5_c4,1.4857142857142862,814.0542685714288,5.199999999999999,90.34455428571428,723.7097142857143,-1.3877787807814457e-17,0.7714285714285715,0.5428571428571429
k6_c0,3.3126031920748797,40.15215162355531,1.6169510181618862,27.397058062740236,12.75509356081486,0.0943863511282325,0.40176114474407554,0.25756741882223655
k6_c1,20.0,6538.16,1.0,0.0,6538.16,0.0,0.0,0.0
k6_c2,1.1260210035006049,266.36872240373384,5.68028004667447,205.91508179696626,60.45364060676787,0.04434072345391006,0.655775962660444,0.2800466744457409
k6_c3,1.4857142857142862,814.0542685714288,5.199999999999999,90.34455428571428,723.7097142857143,-1.3877787807814457e-17,0.7714285714285715,0.5428571428571429
k6_c4,2.716638273708112,118.64279165247021,3.3270868824531403,100.00159346961954,18.641198182850538,0.07211811470755257,0.6360022714366799,0.3577512776831372
k6_c5,0.0,1978.3382250000004,2.0,49.623225,1928.715,0.0,0.5,0.5
k7_c0,3.2839588176685734,33.34093676519434,1.4437064098306982,21.789146662237663,11.551790102956161,0.09465293922284963,0.3125207572235129,0.17103952175357426
k7_c1,1.0956790123456763,333.46370648148155,5.870370370370361,259.4542620370371,74.00944444444437,0.0679012345679012,0.6790123456790107,0.2623456790123457
k7_c2,20.0,6538.16,1.0,0.0,6538.16,0.0,0.0,0.0
k7_c3,1.4857142857142862,814.0542685714288,5.199999999999999,90.34455428571428,723.7097142857143,-1.3877787807814457e-17,0.7714285714285715,0.5428571428571429
k7_c4,1.4169381107492032,200.94751834961983,4.943539630836035,161.95781150922917,38.98970684039085,0.0510314875135727,0.6178067318132472,0.2584147665580882
k7_c5,3.125751503006036,94.99819854709418,2.906312625250514,76.80335385771542,18.194844689378684,0.07715430861723445,0.7074148296593121,0.4849699398797651
k7_c6,0.0,1978.3382250000004,2.0,49.623225,1928.715,0.0,0.5,0.5
k8_c0,3.3291428571428763,29.590422933333343,1.3588571428572105,18.086697219046506,11.503725714286025,0.09523809523809543,0.23390476190476922,0.10057142857143672
k8_c1,1.1057692307692475,246.8825900641024,5.764423076923059,182.91890416666675,63.96368589743592,0.035256410256411165,0.6570512820512826,0.30448717948717924
k8_c2,20.0,6538.16,1.0,0.0,6538.16,0.0,0.0,0.0
k8_c3,0.0,1978.3382250000004,2.0,49.623225,1928.715,0.0,0.5,0.5
k8_c4,2.454545454545448,151.35709213759222,3.646191646191644,135.7683452088452,15.588746928746914,0.0651105651105651,0.5687960687960674,0.20761670761670697
k8_c5,1.4857142857142862,814.0542685714288,5.199999999999999,90.34455428571428,723.7097142857143,-1.3877787807814457e-17,0.7714285714285715,0.5428571428571429
k8_c6,3.0518518518518425,82.6074791111111,2.7135802469135797,64.20190380246913,18.405575308641907,0.08345679012345676,0.7609876543209817,0.564938271604944
k8_c7,1.0975609756097515,371.38082682926824,5.951219512195129,304.81509512195123,66.56573170731707,0.08536585365853656,0.6951219512195121,0.23780487804878048
k9_c0,2.8252184769038626,129.82506754057428,3.1960049937578154,117.6618965043696,12.163171036204663,0.07365792759051183,0.5593008739076151,0.21722846441947483
k9_c1,20.0,6538.16,1.0,0.0,6538.16,0.0,0.0,0.0
k9_c2,3.323367427222677,28.841199999999972,1.3465774980331096,17.24775782848031,11.593442171518786,0.09402045633359579,0.21793863099922078,0.09559402045634174
k9_c3,1.4857142857142862,814.0542685714288,5.199999999999999,90.34455428571428,723.7097142857143,-1.3877787807814457e-17,0.7714285714285715,0.5428571428571429
k9_c4,0.753926701570673,310.393019895288,6.6073298429319305,188.36281047120417,122.03020942408376,0.03664921465968585,0.7486910994764385,0.33507853403141347
k9_c5,3.0986214209968197,78.1152915164369,2.614528101802757,59.75387051961824,18.361420996818566,0.084305408271474,0.7810180275715742,0.5843054082714799
k9_c6,0.0,1978.3382250000004,2.0,49.623225,1928.715,0.0,0.5,0.5
k9_c7,1.2801161103048049,214.55170101596514,5.306240928882421,173.01997387518142,41.53172714078373,0.04644412191582062,0.6298984034833097,0.27576197387518114
k9_c8,1.4405594405594389,359.30092377622395,5.391608391608397,322.7839307692307,36.51699300699301,0.08391608391608389,0.6293706293706296,0.23076923076923078
